students_passed,num_teachers,total_students,Total_budget,dropout_rate,avg_class_size,school_distance,district_label
278,61,2979,14201,0.08,48.84,1,Kicukiro
753,14,2968,18288,0.06,212.0,7,Kicukiro
553,90,1823,16507,0.15,20.26,6,Kicukiro
385,67,600,6626,0.22,8.96,5,Kicukiro
638,74,1270,9460,0.27,17.16,6,Kicukiro
491,35,1930,6414,0.3,55.14,4,Kicukiro
468,91,2411,15856,0.27,26.49,1,Kicukiro
709,53,998,13747,0.23,18.83,5,Kicukiro
770,87,2839,5862,0.21,32.63,9,Kicukiro
920,66,1044,12492,0.28,15.82,8,Kicukiro
497,83,516,15651,0.29,6.22,7,Kicukiro
975,17,2226,12663,0.27,130.94,3,Kicukiro
782,28,1110,10209,0.27,39.64,5,Kicukiro
569,63,2915,10131,0.07,46.27,6,Kicukiro
323,77,2376,14872,0.17,30.86,3,Kicukiro
327,86,1994,8694,0.25,23.19,2,Kicukiro
321,21,837,17668,0.16,39.86,1,Kicukiro
971,29,635,6678,0.13,21.9,4,Kicukiro
306,80,2656,5623,0.18,33.2,2,Kicukiro
526,47,2046,7206,0.28,43.53,8,Kicukiro
718,74,705,9100,0.21,9.53,6,Kicukiro
914,68,2427,11365,0.28,35.69,6,Kicukiro
330,47,1195,7894,0.28,25.43,7,Kicukiro
823,24,1669,17819,0.12,69.54,5,Kicukiro
701,76,894,17925,0.11,11.76,3,Kicukiro
650,21,622,10252,0.22,29.62,6,Kicukiro
740,57,2854,16971,0.21,50.07,6,Kicukiro
624,94,530,19731,0.27,5.64,7,Kicukiro
568,63,2831,17121,0.14,44.94,2,Kicukiro
950,41,1147,10624,0.07,27.98,9,Kicukiro
470,54,2005,18012,0.08,37.13,8,Kicukiro
442,23,1427,8513,0.13,62.04,4,Kicukiro
890,41,1754,8332,0.11,42.78,7,Kicukiro
986,42,2616,12712,0.24,62.29,9,Kicukiro
971,35,2463,18860,0.3,70.37,2,Kicukiro
235,55,988,12086,0.24,17.96,4,Kicukiro
598,36,2137,7772,0.16,59.36,9,Kicukiro
619,16,1890,14107,0.29,118.12,1,Kicukiro
854,73,1758,7241,0.12,24.08,7,Kicukiro
492,80,2924,14933,0.13,36.55,2,Kicukiro
682,16,1051,6652,0.25,65.69,7,Kicukiro
779,54,1575,19293,0.17,29.17,6,Kicukiro
923,57,2908,19486,0.24,51.02,7,Kicukiro
384,55,2635,18795,0.19,47.91,9,Kicukiro
912,12,2072,17548,0.13,172.67,1,Kicukiro
231,89,2686,12888,0.09,30.18,4,Kicukiro
346,72,2152,9118,0.29,29.89,8,Kicukiro
865,77,2393,17873,0.06,31.08,1,Kicukiro
436,42,926,14399,0.11,22.05,7,Kicukiro
763,37,1268,6236,0.09,34.27,6,Kicukiro
426,10,2847,8708,0.28,284.7,6,Kicukiro
433,19,1000,19186,0.25,52.63,6,Kicukiro
701,70,1147,18678,0.15,16.39,1,Kicukiro
383,94,719,13336,0.09,7.65,4,Kicukiro
232,98,923,10616,0.19,9.42,6,Kicukiro
968,23,2595,5047,0.1,112.83,6,Kicukiro
611,36,2382,6628,0.13,66.17,9,Kicukiro
758,85,536,16238,0.13,6.31,3,Kicukiro
628,79,1657,17216,0.1,20.97,6,Kicukiro
708,48,2354,7779,0.06,49.04,4,Kicukiro
698,78,1364,7640,0.2,17.49,3,Kicukiro
390,98,2396,19169,0.14,24.45,7,Kicukiro
308,33,1407,16835,0.07,42.64,3,Kicukiro
731,86,1737,8293,0.25,20.2,8,Kicukiro
526,51,1440,18076,0.08,28.24,1,Kicukiro
598,91,1740,15660,0.19,19.12,3,Kicukiro
627,56,2140,6541,0.29,38.21,2,Kicukiro
399,51,1239,18842,0.28,24.29,9,Kicukiro
359,97,2682,14717,0.17,27.65,1,Kicukiro
482,42,2788,15352,0.25,66.38,4,Kicukiro
991,97,1289,18262,0.09,13.29,1,Kicukiro
657,71,1837,18352,0.07,25.87,8,Kicukiro
785,21,1887,5441,0.19,89.86,1,Kicukiro
823,23,2309,17580,0.07,100.39,6,Kicukiro
644,47,1357,5728,0.16,28.87,4,Kicukiro
734,27,1564,13980,0.15,57.93,6,Kicukiro
323,22,825,13075,0.09,37.5,7,Kicukiro
424,39,2790,11950,0.23,71.54,7,Kicukiro
795,92,985,9883,0.17,10.71,9,Kicukiro
821,54,1644,15240,0.25,30.44,6,Kicukiro
952,50,2571,11756,0.25,51.42,3,Kicukiro
387,61,2502,14436,0.06,41.02,7,Kicukiro
765,65,2436,12181,0.1,37.48,8,Kicukiro
791,23,2011,9865,0.25,87.43,8,Kicukiro
420,64,2695,12474,0.2,42.11,8,Kicukiro
210,37,2050,19768,0.26,55.41,5,Kicukiro
605,34,2312,13891,0.08,68.0,5,Kicukiro
445,38,2602,15406,0.17,68.47,2,Kicukiro
220,31,1437,13375,0.1,46.35,5,Kicukiro
734,30,2646,14323,0.16,88.2,8,Kicukiro
970,26,1929,15998,0.12,74.19,3,Kicukiro
449,49,1860,14435,0.07,37.96,3,Kicukiro
855,34,633,8659,0.26,18.62,8,Kicukiro
739,68,2440,19979,0.14,35.88,5,Kicukiro
878,94,2914,18043,0.08,31.0,8,Kicukiro
486,75,640,17249,0.29,8.53,6,Kicukiro
649,73,1105,12744,0.1,15.14,9,Kicukiro
490,58,1753,11251,0.23,30.22,6,Kicukiro
782,39,1476,13688,0.29,37.85,8,Kicukiro
401,97,622,7381,0.21,6.41,8,Kicukiro
741,55,2101,9903,0.15,38.2,9,Kicukiro
712,86,1714,5637,0.23,19.93,8,Kicukiro
245,48,644,12478,0.05,13.42,9,Kicukiro
464,48,2911,7773,0.24,60.65,6,Kicukiro
323,20,1328,15146,0.08,66.4,4,Kicukiro
367,58,646,7063,0.18,11.14,2,Kicukiro
876,49,915,10979,0.16,18.67,8,Kicukiro
573,77,2215,14660,0.15,28.77,9,Kicukiro
649,36,2246,6234,0.21,62.39,7,Kicukiro
282,71,2514,18397,0.13,35.41,8,Kicukiro
554,38,2159,5653,0.17,56.82,7,Kicukiro
327,29,2238,8605,0.22,77.17,6,Kicukiro
225,15,1724,6335,0.06,114.93,5,Kicukiro
615,99,2026,17634,0.08,20.46,2,Kicukiro
948,26,513,19264,0.17,19.73,5,Kicukiro
373,52,1511,8095,0.1,29.06,3,Kicukiro
729,20,1812,6941,0.09,90.6,6,Kicukiro
400,39,1958,17322,0.29,50.21,7,Kicukiro
600,84,874,8447,0.25,10.4,1,Kicukiro
366,36,2386,16350,0.28,66.28,5,Kicukiro
617,81,1908,12648,0.1,23.56,4,Kicukiro
515,14,2112,19378,0.08,150.86,2,Kicukiro
946,75,2109,6419,0.25,28.12,4,Kicukiro
214,58,1737,18304,0.19,29.95,2,Kicukiro
961,30,1859,15703,0.21,61.97,3,Kicukiro
887,16,1789,8688,0.1,111.81,7,Kicukiro
479,57,902,19779,0.3,15.82,2,Kicukiro
421,34,2872,7338,0.15,84.47,6,Kicukiro
980,38,2346,5666,0.06,61.74,3,Kicukiro
607,70,529,6388,0.09,7.56,5,Kicukiro
884,16,2383,16006,0.1,148.94,2,Kicukiro
984,68,2464,19050,0.24,36.24,9,Kicukiro
570,54,2876,13311,0.12,53.26,7,Kicukiro
345,82,2831,16322,0.25,34.52,8,Kicukiro
990,69,2857,7366,0.16,41.41,9,Kicukiro
740,38,830,10870,0.27,21.84,2,Kicukiro
673,84,1330,11331,0.05,15.83,9,Kicukiro
682,69,1281,8568,0.22,18.57,8,Kicukiro
690,66,985,7479,0.19,14.92,7,Kicukiro
212,11,1993,13900,0.15,181.18,6,Kicukiro
826,74,2774,11631,0.22,37.49,5,Kicukiro
794,96,2502,18382,0.27,26.06,8,Kicukiro
429,58,1366,8976,0.21,23.55,3,Kicukiro
949,15,2722,12075,0.23,181.47,8,Kicukiro
411,32,2547,6353,0.25,79.59,6,Kicukiro
318,56,1017,8528,0.08,18.16,3,Kicukiro
430,57,1014,9971,0.25,17.79,4,Kicukiro
557,44,2959,18949,0.27,67.25,4,Kicukiro
915,52,2899,17630,0.26,55.75,2,Kicukiro
206,44,1284,15626,0.19,29.18,6,Kicukiro
237,85,2414,10040,0.08,28.4,8,Gasabo
758,94,2603,13459,0.26,27.69,7,Kicukiro
605,25,1109,18939,0.11,44.36,2,Kicukiro
876,24,1564,12918,0.23,65.17,2,Kicukiro
924,18,1619,8996,0.27,89.94,6,Kicukiro
485,61,2853,14674,0.25,46.77,4,Kicukiro
980,72,1901,12697,0.16,26.4,9,Kicukiro
298,16,1460,11387,0.2,91.25,6,Kicukiro
907,85,1630,19286,0.08,19.18,6,Kicukiro
964,28,926,17683,0.2,33.07,1,Kicukiro
549,12,1490,18712,0.08,124.17,4,Kicukiro
809,13,2555,18993,0.2,196.54,7,Kicukiro
599,46,1535,12309,0.25,33.37,6,Kicukiro
419,98,1868,19152,0.3,19.06,5,Kicukiro
747,50,818,12509,0.19,16.36,8,Kicukiro
471,77,1004,5337,0.1,13.04,3,Kicukiro
897,83,2587,16850,0.22,31.17,9,Kicukiro
939,92,1509,9004,0.18,16.4,5,Kicukiro
691,46,1481,16828,0.25,32.2,7,Kicukiro
684,29,785,11180,0.18,27.07,7,Kicukiro
259,56,1143,16090,0.08,20.41,3,Kicukiro
800,29,1630,5112,0.29,56.21,2,Kicukiro
531,12,1691,8076,0.1,140.92,7,Kicukiro
836,20,1212,8128,0.15,60.6,2,Kicukiro
289,74,1942,17842,0.1,26.24,9,Gasabo
662,35,1266,11035,0.08,36.17,8,Kicukiro
987,48,2963,17967,0.28,61.73,2,Kicukiro
809,98,1585,16716,0.29,16.17,7,Kicukiro
961,52,2219,12789,0.26,42.67,3,Kicukiro
975,68,825,10817,0.11,12.13,9,Kicukiro
678,58,1241,14846,0.22,21.4,4,Kicukiro
731,91,1628,19979,0.17,17.89,6,Kicukiro
273,79,2199,15220,0.21,27.84,1,Kicukiro
660,61,2398,13715,0.21,39.31,7,Kicukiro
737,58,1632,14857,0.27,28.14,2,Kicukiro
889,18,2043,9947,0.25,113.5,6,Kicukiro
893,26,2728,19766,0.27,104.92,9,Kicukiro
800,86,2239,13186,0.13,26.03,7,Kicukiro
228,67,1420,10092,0.23,21.19,2,Kicukiro
910,20,2381,14927,0.14,119.05,9,Kicukiro
892,30,948,11046,0.13,31.6,4,Kicukiro
486,32,1002,12792,0.08,31.31,7,Kicukiro
517,84,1402,12345,0.09,16.69,5,Kicukiro
434,41,825,7201,0.19,20.12,6,Kicukiro
212,95,834,9039,0.13,8.78,5,Kicukiro
990,40,929,14364,0.17,23.22,5,Kicukiro
585,58,2351,11271,0.26,40.53,2,Kicukiro
238,16,1803,18144,0.29,112.69,1,Kicukiro
588,24,685,18649,0.19,28.54,6,Kicukiro
702,26,1275,17012,0.13,49.04,8,Kicukiro
895,88,2197,13451,0.17,24.97,9,Kicukiro
518,29,2770,9007,0.24,95.52,4,Kicukiro
276,67,2976,14521,0.07,44.42,9,Kicukiro
558,61,879,6759,0.18,14.41,4,Kicukiro
375,92,2975,12264,0.29,32.34,7,Kicukiro
562,94,1015,17904,0.18,10.8,5,Kicukiro
641,66,958,17607,0.14,14.52,4,Kicukiro
305,99,1240,16087,0.21,12.53,2,Kicukiro
221,65,1824,5019,0.26,28.06,3,Kicukiro
844,98,2388,5784,0.06,24.37,6,Kicukiro
355,11,614,14364,0.18,55.82,3,Kicukiro
736,46,2178,5605,0.17,47.35,5,Kicukiro
598,80,2490,10547,0.2,31.12,5,Kicukiro
657,40,851,7149,0.17,21.28,2,Kicukiro
403,74,1424,11854,0.14,19.24,8,Kicukiro
365,80,1884,6207,0.26,23.55,9,Kicukiro
274,92,514,12005,0.23,5.59,2,Kicukiro
414,85,1033,10467,0.1,12.15,5,Kicukiro
395,84,1284,17888,0.28,15.29,4,Kicukiro
703,65,1306,18757,0.1,20.09,3,Kicukiro
769,34,641,10367,0.26,18.85,2,Kicukiro
793,76,1029,16654,0.3,13.54,8,Kicukiro
574,63,673,19664,0.28,10.68,2,Kicukiro
517,78,810,6703,0.1,10.38,1,Kicukiro
897,80,504,19849,0.11,6.3,7,Kicukiro
436,52,2875,8676,0.25,55.29,2,Kicukiro
232,65,2096,7937,0.29,32.25,8,Kicukiro
878,34,1672,14979,0.29,49.18,3,Kicukiro
236,92,2016,12861,0.27,21.91,1,Kicukiro
924,28,2898,7954,0.06,103.5,5,Kicukiro
680,15,548,7526,0.06,36.53,6,Kicukiro
902,32,1677,6197,0.28,52.41,7,Kicukiro
867,10,814,11377,0.22,81.4,5,Kicukiro
351,39,812,5195,0.12,20.82,2,Kicukiro
506,82,939,6947,0.1,11.45,1,Kicukiro
911,48,1985,15552,0.12,41.35,1,Kicukiro
598,71,978,7121,0.17,13.77,5,Kicukiro
395,44,1837,18164,0.25,41.75,4,Kicukiro
618,24,1126,7396,0.2,46.92,1,Kicukiro
294,70,1313,13449,0.14,18.76,5,Kicukiro
575,26,2483,15612,0.1,95.5,6,Kicukiro
224,98,2743,17492,0.18,27.99,9,Kicukiro
732,79,987,5991,0.07,12.49,4,Kicukiro
328,95,2380,5582,0.24,25.05,9,Kicukiro
692,16,1057,8116,0.28,66.06,8,Kicukiro
271,26,1330,11477,0.15,51.15,6,Kicukiro
596,73,1754,5071,0.11,24.03,8,Kicukiro
456,69,957,17216,0.18,13.87,4,Kicukiro
535,94,537,8716,0.14,5.71,4,Kicukiro
706,43,2594,19201,0.14,60.33,7,Kicukiro
553,72,2130,13560,0.12,29.58,6,Kicukiro
672,25,2973,10387,0.26,118.92,8,Kicukiro
709,78,640,5675,0.29,8.21,5,Kicukiro
841,36,2969,13342,0.18,82.47,5,Kicukiro
771,20,2490,6873,0.27,124.5,2,Kicukiro
352,49,2790,6287,0.08,56.94,7,Kicukiro
933,97,2857,16221,0.25,29.45,2,Kicukiro
529,14,2823,19959,0.23,201.64,3,Kicukiro
339,45,2924,6017,0.2,64.98,1,Kicukiro
442,40,1637,9656,0.17,40.92,5,Kicukiro
516,55,2912,10454,0.07,52.95,6,Kicukiro
942,54,2291,13305,0.25,42.43,9,Kicukiro
325,32,2500,15896,0.18,78.12,1,Kicukiro
808,43,2909,13182,0.22,67.65,4,Kicukiro
585,55,1406,6568,0.15,25.56,6,Kicukiro
552,68,1356,14690,0.14,19.94,6,Kicukiro
488,93,643,7816,0.19,6.91,3,Kicukiro
298,23,2535,5255,0.12,110.22,1,Kicukiro
266,44,2149,7022,0.13,48.84,8,Kicukiro
612,90,2485,8437,0.25,27.61,5,Kicukiro
794,75,2991,8306,0.21,39.88,6,Kicukiro
664,14,1995,10771,0.29,142.5,8,Kicukiro
915,50,1136,19207,0.11,22.72,3,Kicukiro
804,17,1647,11666,0.19,96.88,8,Kicukiro
388,41,1704,12612,0.12,41.56,1,Kicukiro
850,52,1018,17977,0.17,19.58,4,Kicukiro
245,41,2065,17932,0.25,50.37,6,Kicukiro
845,89,1086,12215,0.08,12.2,6,Kicukiro
873,78,2547,17559,0.11,32.65,5,Kicukiro
216,20,2868,15128,0.2,143.4,5,Kicukiro
617,50,901,17448,0.24,18.02,4,Kicukiro
642,27,992,11051,0.1,36.74,6,Kicukiro
441,46,831,9493,0.17,18.07,7,Kicukiro
319,60,2191,14220,0.28,36.52,3,Kicukiro
378,14,1044,19297,0.06,74.57,1,Kicukiro
497,64,1892,11072,0.27,29.56,3,Kicukiro
700,56,1939,12783,0.24,34.62,8,Kicukiro
610,56,2836,15215,0.23,50.64,1,Kicukiro
742,27,1783,12506,0.09,66.04,6,Kicukiro
432,39,2009,15103,0.23,51.51,2,Kicukiro
735,47,669,7085,0.24,14.23,8,Kicukiro
508,32,2537,19669,0.28,79.28,3,Kicukiro
508,75,2571,8965,0.09,34.28,3,Kicukiro
488,98,862,17808,0.08,8.8,9,Kicukiro
748,25,679,9653,0.26,27.16,3,Kicukiro
798,30,1135,18243,0.08,37.83,7,Kicukiro
369,16,2581,19243,0.1,161.31,7,Kicukiro
684,11,782,6301,0.16,71.09,1,Kicukiro
231,74,844,5244,0.24,11.41,1,Kicukiro
293,59,1828,12632,0.24,30.98,8,Kicukiro
822,51,989,11296,0.08,19.39,8,Kicukiro
894,99,2885,16117,0.29,29.14,3,Kicukiro
311,30,1930,19768,0.22,64.33,4,Kicukiro
523,73,1872,5327,0.16,25.64,7,Kicukiro
681,36,2588,11968,0.23,71.89,9,Kicukiro
776,59,2679,10729,0.28,45.41,6,Kicukiro
531,16,562,6663,0.18,35.12,3,Kicukiro
926,75,1298,6562,0.17,17.31,7,Kicukiro
931,24,2050,6076,0.12,85.42,7,Kicukiro
333,44,744,13718,0.07,16.91,9,Kicukiro
739,86,872,19225,0.2,10.14,5,Kicukiro
295,44,2658,19455,0.28,60.41,2,Kicukiro
429,55,860,16995,0.19,15.64,6,Kicukiro
549,77,2265,11090,0.07,29.42,9,Kicukiro
971,39,2084,18767,0.11,53.44,1,Kicukiro
469,80,1393,5380,0.29,17.41,1,Kicukiro
554,69,2273,9299,0.28,32.94,6,Kicukiro
225,37,2844,13388,0.07,76.86,1,Kicukiro
404,97,1500,5678,0.25,15.46,7,Kicukiro
911,99,1700,18364,0.12,17.17,5,Kicukiro
360,42,789,18512,0.08,18.79,5,Kicukiro
239,15,1623,15912,0.06,108.2,9,Kicukiro
750,65,2520,14068,0.14,38.77,3,Kicukiro
775,41,1093,14010,0.11,26.66,9,Kicukiro
348,35,785,9870,0.12,22.43,8,Kicukiro
633,94,797,17182,0.13,8.48,2,Kicukiro
845,20,2158,11913,0.21,107.9,5,Kicukiro
662,49,1752,6337,0.29,35.76,6,Kicukiro
940,94,1351,8199,0.18,14.37,2,Kicukiro
822,16,2693,9418,0.18,168.31,8,Kicukiro
674,39,2842,9136,0.13,72.87,3,Kicukiro
786,93,677,11430,0.23,7.28,7,Kicukiro
713,28,2233,13064,0.15,79.75,3,Kicukiro
539,86,1473,6553,0.3,17.13,6,Kicukiro
412,38,2544,16104,0.13,66.95,3,Kicukiro
950,37,2700,16439,0.3,72.97,8,Kicukiro
663,54,1951,6742,0.16,36.13,1,Kicukiro
575,57,2778,11415,0.09,48.74,7,Kicukiro
318,36,2670,16891,0.15,74.17,9,Kicukiro
947,75,548,5153,0.12,7.31,8,Kicukiro
389,37,507,18714,0.25,13.7,1,Kicukiro
491,91,1411,17623,0.17,15.51,2,Kicukiro
858,64,1370,16610,0.29,21.41,4,Kicukiro
298,66,1428,8771,0.27,21.64,2,Kicukiro
889,23,1271,19437,0.2,55.26,3,Kicukiro
721,64,1994,6923,0.06,31.16,4,Kicukiro
279,60,1117,6240,0.12,18.62,7,Kicukiro
481,69,1053,18707,0.05,15.26,7,Kicukiro
937,71,1636,8896,0.08,23.04,9,Kicukiro
911,17,2476,11630,0.29,145.65,5,Kicukiro
527,88,2536,16224,0.12,28.82,7,Kicukiro
665,28,1959,7370,0.2,69.96,2,Kicukiro
844,97,2710,19423,0.2,27.94,3,Kicukiro
885,60,2204,16893,0.19,36.73,5,Kicukiro
760,29,2663,8750,0.19,91.83,9,Kicukiro
330,73,628,17546,0.13,8.6,7,Kicukiro
620,60,885,19645,0.07,14.75,3,Kicukiro
224,84,969,18791,0.16,11.54,9,Kicukiro
657,64,1899,17499,0.18,29.67,8,Kicukiro
633,55,719,9990,0.15,13.07,7,Kicukiro
555,11,661,12760,0.08,60.09,4,Kicukiro
267,90,2402,8946,0.15,26.69,3,Kicukiro
208,72,2383,14010,0.3,33.1,4,Kicukiro
422,47,651,19739,0.14,13.85,9,Kicukiro
837,91,2783,5345,0.23,30.58,6,Kicukiro
885,34,657,5601,0.16,19.32,3,Kicukiro
450,58,1540,19119,0.15,26.55,7,Kicukiro
776,16,1881,13734,0.11,117.56,7,Kicukiro
880,39,1012,13289,0.28,25.95,4,Kicukiro
390,82,2484,15246,0.06,30.29,5,Kicukiro
603,77,2616,13052,0.28,33.97,4,Kicukiro
654,27,1022,7890,0.07,37.85,1,Kicukiro
972,10,2553,13776,0.12,255.3,5,Kicukiro
304,48,2285,5311,0.29,47.6,4,Kicukiro
295,85,934,11092,0.27,10.99,9,Kicukiro
959,82,594,8327,0.29,7.24,1,Kicukiro
680,19,2126,19387,0.11,111.89,8,Kicukiro
863,52,2619,9203,0.21,50.37,1,Kicukiro
764,11,1542,5069,0.05,140.18,5,Kicukiro
804,27,2665,5806,0.3,98.7,1,Kicukiro
760,68,1986,5414,0.14,29.21,9,Kicukiro
829,26,1162,15692,0.3,44.69,5,Kicukiro
378,35,858,15044,0.05,24.51,9,Kicukiro
228,28,887,7836,0.14,31.68,6,Kicukiro
404,59,1405,12278,0.24,23.81,9,Kicukiro
681,93,650,9364,0.14,6.99,8,Kicukiro
973,48,2158,8964,0.06,44.96,9,Kicukiro
286,67,1008,9338,0.12,15.04,4,Kicukiro
688,71,1675,11047,0.09,23.59,5,Kicukiro
796,48,1855,6618,0.23,38.65,5,Kicukiro
884,10,2702,13827,0.14,270.2,1,Kicukiro
611,87,1662,11847,0.3,19.1,6,Kicukiro
360,33,2456,10615,0.2,74.42,7,Kicukiro
544,98,2793,8082,0.13,28.5,9,Kicukiro
449,16,806,7833,0.3,50.38,8,Kicukiro
713,86,1724,17157,0.12,20.05,6,Kicukiro
413,72,2620,9412,0.1,36.39,5,Kicukiro
908,86,882,10506,0.12,10.26,5,Kicukiro
520,84,1595,5995,0.1,18.99,5,Kicukiro
600,79,1182,10713,0.15,14.96,7,Kicukiro
436,43,1249,16159,0.21,29.05,9,Kicukiro
233,63,2936,9896,0.12,46.6,4,Kicukiro
268,93,1005,6103,0.14,10.81,1,Kicukiro
267,96,2689,5338,0.07,28.01,2,Kicukiro
558,86,1453,15135,0.08,16.9,4,Kicukiro
864,67,686,10208,0.23,10.24,3,Kicukiro
862,86,1944,16254,0.26,22.6,2,Kicukiro
749,78,1795,9851,0.28,23.01,8,Kicukiro
986,17,2911,19772,0.23,171.24,1,Kicukiro
357,89,1880,16411,0.2,21.12,2,Kicukiro
715,65,2173,14573,0.06,33.43,1,Kicukiro
438,13,721,13873,0.14,55.46,9,Kicukiro
549,13,1434,10117,0.15,110.31,8,Kicukiro
900,99,2504,5576,0.1,25.29,6,Kicukiro
466,68,546,10572,0.15,8.03,6,Kicukiro
615,69,2683,8485,0.06,38.88,3,Kicukiro
314,20,2628,17459,0.23,131.4,1,Kicukiro
589,17,877,7021,0.27,51.59,9,Kicukiro
200,94,780,16842,0.24,8.3,6,Kicukiro
533,83,924,16748,0.29,11.13,1,Kicukiro
978,37,1503,6716,0.26,40.62,3,Kicukiro
900,82,2308,13953,0.22,28.15,7,Kicukiro
792,91,1850,13334,0.15,20.33,3,Kicukiro
553,31,2910,8667,0.12,93.87,2,Kicukiro
252,98,592,10034,0.25,6.04,1,Kicukiro
645,77,2404,9078,0.14,31.22,5,Kicukiro
423,57,600,15852,0.06,10.53,6,Kicukiro
656,73,876,12421,0.05,12.0,1,Kicukiro
970,88,2316,19375,0.28,26.32,8,Kicukiro
592,24,1576,12936,0.16,65.67,6,Kicukiro
864,58,2409,17751,0.15,41.53,1,Kicukiro
791,76,716,6616,0.26,9.42,7,Kicukiro
938,49,2407,14431,0.16,49.12,7,Kicukiro
661,67,1498,19213,0.05,22.36,3,Kicukiro
505,56,965,18058,0.15,17.23,1,Kicukiro
521,32,2506,11635,0.27,78.31,9,Kicukiro
292,22,2447,9888,0.09,111.23,9,Kicukiro
725,23,850,6714,0.27,36.96,8,Kicukiro
499,48,1278,10426,0.08,26.62,5,Kicukiro
594,48,1907,12045,0.21,39.73,7,Kicukiro
983,84,1435,13247,0.15,17.08,4,Kicukiro
472,98,2532,15649,0.29,25.84,7,Kicukiro
407,83,1722,15869,0.08,20.75,9,Kicukiro
281,58,539,9963,0.23,9.29,1,Kicukiro
525,63,1107,6355,0.07,17.57,9,Kicukiro
470,85,1032,14619,0.14,12.14,7,Kicukiro
736,62,1707,13157,0.1,27.53,8,Kicukiro
974,70,2885,12784,0.23,41.21,9,Kicukiro
735,79,1880,19978,0.15,23.8,5,Kicukiro
393,16,1366,15700,0.14,85.38,9,Kicukiro
811,34,1965,9997,0.23,57.79,5,Kicukiro
385,81,1668,17357,0.28,20.59,1,Kicukiro
970,30,731,16159,0.27,24.37,9,Kicukiro
366,31,929,18553,0.27,29.97,1,Kicukiro
733,17,2418,5250,0.07,142.24,4,Kicukiro
628,82,2699,12935,0.26,32.91,5,Kicukiro
297,35,2601,19852,0.14,74.31,4,Kicukiro
549,48,1188,11218,0.26,24.75,4,Kicukiro
293,45,1628,12975,0.16,36.18,2,Kicukiro
246,99,2944,7386,0.25,29.74,1,Kicukiro
489,78,1200,9626,0.09,15.38,7,Kicukiro
626,30,1173,8115,0.25,39.1,8,Kicukiro
765,31,1036,11960,0.23,33.42,7,Kicukiro
516,36,686,5871,0.23,19.06,2,Kicukiro
576,13,604,15264,0.19,46.46,3,Kicukiro
693,83,2539,19783,0.27,30.59,5,Kicukiro
922,96,2424,8598,0.17,25.25,7,Kicukiro
664,18,1346,16685,0.06,74.78,7,Kicukiro
915,68,2159,5227,0.24,31.75,1,Kicukiro
231,75,2998,11082,0.29,39.97,5,Kicukiro
527,84,750,15427,0.27,8.93,8,Kicukiro
810,86,1072,14208,0.07,12.47,6,Kicukiro
846,50,1994,11891,0.26,39.88,5,Kicukiro
503,67,1271,7515,0.24,18.97,7,Kicukiro
457,66,528,13378,0.13,8.0,8,Kicukiro
433,11,1988,10694,0.25,180.73,2,Kicukiro
225,67,2348,8796,0.08,35.04,5,Kicukiro
467,46,1701,15113,0.07,36.98,7,Kicukiro
539,74,1612,17468,0.19,21.78,7,Kicukiro
935,49,2813,12100,0.18,57.41,3,Kicukiro
450,46,2993,11421,0.06,65.07,6,Kicukiro
923,11,2158,18857,0.17,196.18,9,Kicukiro
739,20,781,18083,0.18,39.05,2,Kicukiro
369,19,1400,5241,0.29,73.68,5,Kicukiro
238,57,2312,7595,0.25,40.56,1,Kicukiro
914,87,1775,9218,0.28,20.4,8,Kicukiro
336,38,987,17634,0.27,25.97,7,Kicukiro
299,66,1378,10281,0.28,20.88,7,Gasabo
584,32,1479,9433,0.1,46.22,3,Kicukiro
736,44,2716,10545,0.06,61.73,4,Kicukiro
212,52,2967,6700,0.29,57.06,5,Kicukiro
345,84,2757,17162,0.13,32.82,5,Kicukiro
688,68,2163,19057,0.14,31.81,6,Kicukiro
552,77,1203,9149,0.07,15.62,5,Kicukiro
830,81,1149,12343,0.22,14.19,8,Kicukiro
518,37,901,6477,0.16,24.35,7,Kicukiro
606,48,2032,9355,0.2,42.33,9,Kicukiro
843,93,940,19424,0.05,10.11,5,Kicukiro
439,30,601,13294,0.19,20.03,2,Kicukiro
836,48,1607,16774,0.16,33.48,5,Kicukiro
246,70,1406,8687,0.08,20.09,8,Kicukiro
376,85,803,12950,0.22,9.45,6,Kicukiro
388,98,2132,11455,0.22,21.76,6,Kicukiro
317,36,1977,9925,0.08,54.92,4,Kicukiro
353,25,530,17915,0.26,21.2,4,Kicukiro
931,61,915,6571,0.06,15.0,4,Kicukiro
890,90,2759,5786,0.08,30.66,2,Kicukiro
475,33,1549,8482,0.2,46.94,9,Kicukiro
282,92,1878,11186,0.21,20.41,7,Kicukiro
353,36,2779,7729,0.09,77.19,9,Kicukiro
317,29,2776,5878,0.16,95.72,5,Kicukiro
969,65,1304,8265,0.11,20.06,1,Kicukiro
764,63,2924,5456,0.14,46.41,3,Kicukiro
823,21,1106,9016,0.17,52.67,7,Kicukiro
602,81,1676,14310,0.24,20.69,8,Kicukiro
229,71,553,13094,0.21,7.79,9,Kicukiro
557,61,2400,7374,0.1,39.34,4,Kicukiro
217,75,2457,7803,0.1,32.76,8,Kicukiro
649,56,2048,15107,0.3,36.57,2,Kicukiro
636,20,2153,11596,0.18,107.65,5,Kicukiro
541,98,2933,18582,0.13,29.93,3,Kicukiro
